Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF 25V X5R","C_0805_2012Metric",35.000000,162.500000,0.000000,top
"C2","4.7uF 25V X5R","C_0805_2012Metric",42.500000,159.500000,0.000000,top
"C3","100nF 50V X7R","C_0805_2012Metric",44.500000,156.500000,0.000000,top
"C4","10nF C0G 5%","C_0805_2012Metric",34.687500,154.500000,180.000000,top
"C5","100nF 50V X7R","C_0805_2012Metric",41.187500,161.500000,0.000000,top
"C6","10uF 25V X5R","C_0805_2012Metric",34.000000,146.000000,0.000000,top
"C7","10uF 25V X5R","C_0805_2012Metric",8.500000,187.500000,-90.000000,top
"C8","100nF 50V X7R","C_0805_2012Metric",10.500000,187.500000,-90.000000,top
"C9","100nF 50V X7R","C_0805_2012Metric",8.000000,183.500000,-90.000000,top
"C10","100nF 50V X7R","C_0805_2012Metric",26.500000,120.500000,90.000000,top
"C11","10nF 50V X7R","C_0805_2012Metric",21.000000,117.000000,0.000000,top
"C12","10uF 25V X5R","C_0805_2012Metric",45.500000,137.175000,-90.000000,top
"C13","100nF 10V","C_0603_1608Metric",41.000000,166.500000,180.000000,top
"J1","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",45.450000,194.000000,90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",45.500000,189.500000,0.000000,top
"J3","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",10.000000,130.500000,0.000000,top
"L1","22uH / Isat >= 0.4A","L_Changjiang_FNR4018S",35.500000,158.500000,0.000000,top
"L2","2.2uH / Isat >= 1.5A","L_Changjiang_FNR4018S",35.500000,142.000000,180.000000,top
"Q1","AO3401A","SOT-23",18.500000,166.500000,0.000000,top
"R1","2M 1%","R_0603_1608Metric",26.000000,154.500000,0.000000,top
"R2","2M 1%","R_0603_1608Metric",26.000000,157.000000,0.000000,top
"R3","2M 1%","R_0603_1608Metric",15.500000,152.000000,0.000000,top
"R4","2M 1%","R_0603_1608Metric",19.000000,154.500000,0.000000,top
"R5","1.5M 1%","R_0603_1608Metric",12.000000,157.000000,0.000000,top
"R8","10k","R_0805_2012Metric",11.412500,178.000000,0.000000,top
"R9","10k","R_0805_2012Metric",15.500000,178.000000,0.000000,top
"R10","1k","R_0805_2012Metric",14.500000,168.000000,0.000000,top
"R11","100k","R_0805_2012Metric",15.000000,165.000000,90.000000,top
"R12","10k","R_0805_2012Metric",12.000000,124.500000,0.000000,top
"R13","47k","R_0805_2012Metric",28.000000,124.500000,0.000000,top
"R14","10k","R_0805_2012Metric",15.000000,159.000000,0.000000,top
"R15","10k","R_0805_2012Metric",40.000000,184.500000,0.000000,top
"R16","52.3k 1%","R_0805_2012Metric",37.000000,134.000000,0.000000,top
"R17","2M 1%","R_0603_1608Metric",26.000000,152.000000,0.000000,top
"R18","2M 1%","R_0603_1608Metric",22.500000,157.000000,0.000000,top
"R19","3M 1%","R_0603_1608Metric",19.000000,157.000000,0.000000,top
"R20","2M 1%","R_0603_1608Metric",19.000000,152.000000,0.000000,top
"R21","2M 1%","R_0603_1608Metric",15.500000,154.500000,0.000000,top
"R22","2M 1%","R_0603_1608Metric",12.000000,154.500000,0.000000,top
"R23","2M 1%","R_0603_1608Metric",12.000000,152.000000,0.000000,top
"R24","2M 1%","R_0603_1608Metric",41.000000,172.500000,180.000000,top
"R25","100k 1%","R_0603_1608Metric",41.000000,169.500000,180.000000,top
"RV1","100k trim","Potentiometer_Bourns_3296W_Vertical",27.500000,129.000000,0.000000,top
"SC1","3F 5.4V PHV-5R4V305-R","CP_Eaton_PHV_3F_Vertical_P11.8mm",19.500000,144.500000,0.000000,top
"SW1","TS-1088-AR02016","SW_SPST_TS-1088-xR020",13.350000,182.400000,0.000000,top
"SW2","TS-1088-AR02016","SW_SPST_TS-1088-xR020",13.500000,173.500000,0.000000,top
"U1","BQ25570","QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm",40.000000,154.000000,0.000000,top
"U2","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02_0.3mm_thermal_vias",27.500000,179.900000,0.000000,top
"U3","TLC555CDR","SOIC-8_3.9x4.9mm_P1.27mm",21.000000,121.500000,0.000000,top
"U4","TPS62842DGRR","HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm",41.000000,137.500000,0.000000,top
