Designator,Quantity,Value,Footprint,Manufacturer,MPN,LCSC Part #,Assembly,Source URL,Notes
U1,1,BQ25570,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,Texas Instruments,BQ25570RGRR,C506250,JLCPCB SMT,https://www.lcsc.com/product-detail/C506250.html,Extended; no Basic or Preferred energy-harvesting charger exists at JLCPCB.
U2,1,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02_0.3mm_thermal_vias,Espressif,ESP32-C3-WROOM-02-N4,C2934560,JLCPCB SMT,https://www.lcsc.com/product-detail/C2934560.html,Extended; JLCPCB lists no Basic or Preferred ESP32 module or chip.
U3,1,TLC555CDR,SOIC-8_3.9x4.9mm_P1.27mm,Texas Instruments,TLC555CDR,C6986,JLCPCB SMT,https://www.lcsc.com/product-detail/C6986.html,"Extended. The only Preferred 555 is the bipolar NE555DR, which needs 4.5V and draws mA - unusable on this 3.3V microwatt budget."
U4,1,TPS62842DGRR,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,Texas Instruments,TPS62842DGRR,C2873354,JLCPCB SMT,https://www.lcsc.com/product-detail/C2873354.html,Extended; no Basic or Preferred nanoamp-quiescent buck at JLCPCB.
Q1,1,AO3401A,SOT-23,Alpha & Omega Semiconductor,AO3401A,C15127,JLCPCB SMT,https://www.lcsc.com/product-detail/C15127.html,
L1,1,22uH / Isat >= 0.4A,L_Changjiang_FNR4018S,Changjiang Microelectronics,FNR4030S220MT,C167883,JLCPCB SMT,https://www.lcsc.com/product-detail/C167883.html,"22uH shielded power inductor, 292mOhm, Isat 1.2A, 4x4x3.0mm. Replaces Coilcraft LPS4018-223MRC: 0.53->0.025 USD and lower DCR (was 360mOhm), which matters on the boost side of a microwatt harvester. Still Extended - JLCPCB has no Basic or Preferred power inductor."
L2,1,2.2uH / Isat >= 1.5A,L_Changjiang_FNR4018S,Changjiang Microelectronics,FNR4018S2R2MT,C167804,JLCPCB SMT,https://www.lcsc.com/product-detail/C167804.html,"2.2uH shielded power inductor, 59mOhm, Isat 2.6A, 4x4x1.8mm. Replaces Coilcraft LPS4018-222MRC: 0.98->0.023 USD and lower DCR (was 70mOhm). Shares the FNR40xx land pattern with L1."
"SW1,SW2",2,TS-1088-AR02016,SW_SPST_TS-1088-xR020,XUNPU,TS-1088-AR02016,C720477,JLCPCB SMT,https://www.lcsc.com/product-detail/C720477.html,
"C1,C2",2,4.7uF 25V X5R,C_0805_2012Metric,Samsung Electro-Mechanics,CL21A475KAQNNNE,C1779,JLCPCB SMT,https://www.lcsc.com/product-detail/C1779.html,
"C6,C7,C12",3,10uF 25V X5R,C_0805_2012Metric,Samsung Electro-Mechanics,CL21A106KAYNNNE,C15850,JLCPCB SMT,https://www.lcsc.com/product-detail/C15850.html,
