Comment,Designator,Footprint,LCSC Part #
BQ25570,U1,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,C506250
ESP32-C3-WROOM-02-N4,U2,ESP32-C3-WROOM-02_0.3mm_thermal_vias,C2934560
TLC555CDR,U3,SOIC-8_3.9x4.9mm_P1.27mm,C6986
TPS62842DGRR,U4,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,C2873354
AO3401A,Q1,SOT-23,C15127
22uH / Isat >= 0.4A,L1,L_Changjiang_FNR4018S,C167883
2.2uH / Isat >= 1.5A,L2,L_Changjiang_FNR4018S,C167804
TS-1088-AR02016,"SW1,SW2",SW_SPST_TS-1088-xR020,C720477
4.7uF 25V X5R,"C1,C2",C_0805_2012Metric,C1779
10uF 25V X5R,"C6,C7,C12",C_0805_2012Metric,C15850
100nF 50V X7R,"C3,C5,C8,C9,C10",C_0805_2012Metric,C49678
10nF C0G 5%,C4,C_0805_2012Metric,C97905
10nF 50V X7R,C11,C_0805_2012Metric,C1710
100nF 10V,C13,C_0603_1608Metric,C14663
2M 1%,"R1,R2,R3,R4,R17,R18,R20,R21,R22,R23,R24",R_0603_1608Metric,C22976
1.5M 1%,R5,R_0603_1608Metric,C4172
3M 1%,R19,R_0603_1608Metric,C23156
100k 1%,R25,R_0603_1608Metric,C25803
10k,"R8,R9,R12,R14,R15",R_0805_2012Metric,C17414
1k,R10,R_0805_2012Metric,C17513
100k,R11,R_0805_2012Metric,C149504
47k,R13,R_0805_2012Metric,C17713
52.3k 1%,R16,R_0805_2012Metric,C17740
