Designator,Mid X,Mid Y,Layer,Rotation
C1,35.000000,162.500000,top,0.000000
C2,42.500000,159.500000,top,0.000000
C3,44.500000,156.500000,top,0.000000
C4,34.687500,154.500000,top,180.000000
C5,41.187500,161.500000,top,0.000000
C6,34.000000,146.000000,top,0.000000
C7,8.500000,187.500000,top,-90.000000
C8,10.500000,187.500000,top,-90.000000
C9,8.000000,183.500000,top,-90.000000
C10,26.500000,120.500000,top,90.000000
C11,21.000000,117.000000,top,0.000000
C12,45.500000,137.175000,top,-90.000000
C13,41.000000,166.500000,top,180.000000
L1,35.500000,158.500000,top,0.000000
L2,35.500000,142.000000,top,180.000000
Q1,18.500000,166.500000,top,0.000000
R1,26.000000,154.500000,top,0.000000
R2,26.000000,157.000000,top,0.000000
R3,15.500000,152.000000,top,0.000000
R4,19.000000,154.500000,top,0.000000
R5,12.000000,157.000000,top,0.000000
R8,11.412500,178.000000,top,0.000000
R9,15.500000,178.000000,top,0.000000
R10,14.500000,168.000000,top,0.000000
R11,15.000000,165.000000,top,90.000000
R12,12.000000,124.500000,top,0.000000
R13,28.000000,124.500000,top,0.000000
R14,15.000000,159.000000,top,0.000000
R15,40.000000,184.500000,top,0.000000
R16,37.000000,134.000000,top,0.000000
R17,26.000000,152.000000,top,0.000000
R18,22.500000,157.000000,top,0.000000
R19,19.000000,157.000000,top,0.000000
R20,19.000000,152.000000,top,0.000000
R21,15.500000,154.500000,top,0.000000
R22,12.000000,154.500000,top,0.000000
R23,12.000000,152.000000,top,0.000000
R24,41.000000,172.500000,top,180.000000
R25,41.000000,169.500000,top,180.000000
SW1,13.350000,182.400000,top,0.000000
SW2,13.500000,173.500000,top,0.000000
U1,40.000000,154.000000,top,0.000000
U2,27.500000,179.900000,top,0.000000
U3,21.000000,121.500000,top,0.000000
U4,41.000000,137.500000,top,0.000000
