Ref,Val,Package,PosX,PosY,Rot,Side
"C13","100nF 10V","C_0603_1608Metric",130.000000,-79.000000,180.000000,bottom
"R24","2.2M 1%","R_0603_1608Metric",130.000000,-73.000000,180.000000,bottom
"R25","100k 1%","R_0603_1608Metric",130.000000,-76.000000,180.000000,bottom
"C1","4.7uF 25V X5R","C_0805_2012Metric",124.000000,-83.000000,0.000000,top
"C2","4.7uF 25V X5R","C_0805_2012Metric",131.500000,-86.000000,0.000000,top
"C3","100nF 50V X7R","C_0805_2012Metric",133.500000,-89.000000,0.000000,top
"C4","10nF C0G 5%","C_0805_2012Metric",123.687500,-91.000000,180.000000,top
"C5","100nF 50V X7R","C_0805_2012Metric",130.187500,-84.000000,0.000000,top
"C6","10uF 25V X5R","C_0805_2012Metric",123.000000,-99.500000,0.000000,top
"C7","10uF 25V X5R","C_0805_2012Metric",97.500000,-58.000000,-90.000000,top
"C8","100nF 50V X7R","C_0805_2012Metric",99.500000,-58.000000,-90.000000,top
"C9","100nF 50V X7R","C_0805_2012Metric",97.000000,-62.000000,-90.000000,top
"C10","100nF 50V X7R","C_0805_2012Metric",115.500000,-125.000000,90.000000,top
"C11","10nF 50V X7R","C_0805_2012Metric",110.000000,-128.500000,0.000000,top
"C12","10uF 25V X5R","C_0805_2012Metric",134.500000,-108.325000,-90.000000,top
"J1","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",134.450000,-51.500000,90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",134.500000,-56.000000,0.000000,top
"J3","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",99.000000,-115.000000,0.000000,top
"L1","22uH / Isat >= 0.4A","L_Coilcraft_LPS4018",124.500000,-87.000000,0.000000,top
"L2","2.2uH / Isat >= 1.5A","L_Coilcraft_LPS4018",124.500000,-103.500000,180.000000,top
"Q1","AO3401A","SOT-23",107.500000,-79.000000,0.000000,top
"R1","2M 1%","R_0603_1608Metric",115.000000,-91.000000,0.000000,top
"R2","2M 1%","R_0603_1608Metric",115.000000,-88.500000,0.000000,top
"R3","2M 1%","R_0603_1608Metric",104.500000,-93.500000,0.000000,top
"R4","2M 1%","R_0603_1608Metric",108.000000,-91.000000,0.000000,top
"R5","1.5M 1%","R_0603_1608Metric",101.000000,-88.500000,0.000000,top
"R8","10k","R_0805_2012Metric",100.412500,-67.500000,0.000000,top
"R9","10k","R_0805_2012Metric",104.500000,-67.500000,0.000000,top
"R10","1k","R_0805_2012Metric",103.500000,-77.500000,0.000000,top
"R11","100k","R_0805_2012Metric",104.000000,-80.500000,90.000000,top
"R12","10k","R_0805_2012Metric",101.000000,-121.000000,0.000000,top
"R13","47k","R_0805_2012Metric",117.000000,-121.000000,0.000000,top
"R14","10k","R_0805_2012Metric",104.000000,-86.500000,0.000000,top
"R15","10k","R_0805_2012Metric",129.000000,-61.000000,0.000000,top
"R16","52.3k 1%","R_0805_2012Metric",126.000000,-111.500000,0.000000,top
"R17","2M 1%","R_0603_1608Metric",115.000000,-93.500000,0.000000,top
"R18","2M 1%","R_0603_1608Metric",111.500000,-88.500000,0.000000,top
"R19","3M 1%","R_0603_1608Metric",108.000000,-88.500000,0.000000,top
"R20","2M 1%","R_0603_1608Metric",108.000000,-93.500000,0.000000,top
"R21","2M 1%","R_0603_1608Metric",104.500000,-91.000000,0.000000,top
"R22","2M 1%","R_0603_1608Metric",101.000000,-91.000000,0.000000,top
"R23","2M 1%","R_0603_1608Metric",101.000000,-93.500000,0.000000,top
"RV1","100k trim","Potentiometer_Bourns_3296W_Vertical",116.500000,-116.500000,0.000000,top
"SC1","3F 5.4V PHV-5R4V305-R","CP_Eaton_PHV_3F_Vertical_P11.8mm",108.500000,-101.000000,0.000000,top
"SW1","TS-1088-AR02016","SW_SPST_TS-1088-xR020",102.350000,-63.100000,0.000000,top
"SW2","TS-1088-AR02016","SW_SPST_TS-1088-xR020",102.500000,-72.000000,0.000000,top
"U1","BQ25570","QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm",129.000000,-91.500000,0.000000,top
"U2","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02_0.3mm_thermal_vias",116.500000,-65.600000,0.000000,top
"U3","TLC555CDR","SOIC-8_3.9x4.9mm_P1.27mm",110.000000,-124.000000,0.000000,top
"U4","TPS62842DGRR","HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm",130.000000,-108.000000,0.000000,top
